	0	565.5	153.000 645		150.5	565.5	197.5   645.5	196.5  	
	1	567.289	151.773 648.91	149.727	568.938	197.75  649.309	196.145
	2	570.141	151.223 654.355	148.152	571.586	200.074 654.793	195.797
	3	576.437	150.504 661.316	146.656	579.027	198.598 661.805	195.176
	4	582.465	146.484 670.801	144.895	583.934	194.961 671.332	195.047
	5	592.016	144.906 681.727	142.594	594.234	194.652 681.039	194.484
	6	603.406	142.484 692.613	140.348	604.934	193.398 691.332	197.586
	7	621.906	141.719 716.23	138.027	620.867	194.977 716.098	194.063
	8	638.813	138.219 886.145	164.387	639.867	194.387 738.695	191.773
	9	662.313	135.219 764.664	130.52 	664.367	192.254 764.938	192.57 
	10	686.312	131.219 793.184	127.973	688.867	193.887 796.109	190.273
	11	716.313	129.219 823.129	128.336	718.25	190.293 827.695	187.957
	12	747.926	122.219 861.797	117.84 	749.652	187.793 861.141	189.008
	13	780.813	119.727 897.437	116.434	783.066	187.223 900.195	186.617
	14	819.895	117.164 940.129	112.348	822.164	186.793 942.098	184.957
	15	858.832	110.719 985.184	106.887	862.25	182.793 988.648	180.094
	16	907.465	106.719 1036.63	100.836	909.75	182.207 1041.2	176.039
	17	954.813	97.7187 1093.63	94.3359	957.922	180.031 1095.87	176.957
	18	1009.81	91.7187 1153.63	89.3359	1013.42	177.031 1156.01	175.875
	19	1066.83	84.2187 1219.63	81.457 	1071.37	178.023 1223.74	172.508
	20	1132.83	77.2187 1289.13	70.5313	1136.36	175.023 1292.62	170.051
